[2026-06-08 00:47:37] [INFO    ] discord.client: logging in using static token
[2026-06-08 00:47:38] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-06-08 00:47:38] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-06-08 00:47:38] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1511181084115730432', 'username': '⛧ 𝑵ᴏᴄᴛᴀʀɪᴜᴍ', 'avatar': '62faf5f4ddf4458d656e9b4c568bb644', 'discriminator': '2141', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '87720b62e7066328378f6bc96cce3fe7', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-06-08 00:47:38] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-06-08 00:47:38] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-06-08 00:47:38] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1511181084115730432', 'name': '⛧ 𝑵ᴏᴄᴛᴀʀɪᴜᴍ', 'icon': '62faf5f4ddf4458d656e9b4c568bb644', 'description': 'Κύριε, ἐλέησον.', 'type': None, 'bot': {'id': '1511181084115730432', 'username': '⛧ 𝑵ᴏᴄᴛᴀʀɪᴜᴍ', 'avatar': '62faf5f4ddf4458d656e9b4c568bb644', 'discriminator': '2141', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '87720b62e7066328378f6bc96cce3fe7', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '586eb736f1c9b724f5346ac19321c5c3e5214fc543a25df7b1e86bdb7dc7e996', 'flags': 2662400, 'flags_new': '2662400', 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '344926275942481930', 'username': 'ret_', 'avatar': '5540fc513bf22281e0a2113022f02a72', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 8028587, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': {'nameplate': {'sku_id': '1409898407920668782', 'asset': 'nameplates/lunar_eclipse/moonlit_charm/', 'label': 'COLLECTIBLES_LUNAR_ECLIPSE_MOONLIT_CHARM_NP_A11Y', 'palette': 'cobalt'}}, 'display_name_styles': None, 'banner_color': '#7a81ab', 'clan': {'identity_guild_id': '884363610640498698', 'identity_enabled': True, 'tag': 'Moon', 'badge': '5e6b8ec3edb91bbd32dc0f86cf934622'}, 'primary_guild': {'identity_guild_id': '884363610640498698', 'identity_enabled': True, 'tag': 'Moon', 'badge': '5e6b8ec3edb91bbd32dc0f86cf934622'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 484, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-06-08 00:47:38] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-06-08 00:47:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-rzxt",{"micros":0.0}]']}}
[2026-06-08 00:47:38] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-06-08 00:47:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
